na_sales,eu_sales,jp_sales,other_sales,global_sales,platform,KMeans_Label
0.58,0.45,0.0,0.14,1.16,PC,0
0.38,0.52,0.01,0.25,1.16,PSV,0
0.45,0.25,0.3,0.16,1.16,PSP,0
0.97,0.04,0.0,0.16,1.16,PS2,0
0.57,0.44,0.0,0.15,1.16,PS2,0
0.45,0.58,0.0,0.13,1.16,PS3,0
0.39,0.27,0.43,0.08,1.16,PS,0
0.66,0.39,0.0,0.11,1.16,DS,2
0.57,0.44,0.0,0.15,1.16,PS2,0
0.78,0.28,0.07,0.02,1.16,N64,2
0.57,0.08,0.5,0.01,1.16,SNES,1
0.84,0.27,0.0,0.05,1.16,GBA,2
0.21,0.16,0.77,0.02,1.16,SAT,0
0.65,0.44,0.0,0.08,1.16,PS,0
0.5,0.39,0.02,0.25,1.16,PSP,0
0.54,0.51,0.0,0.12,1.16,X360,1
0.52,0.38,0.09,0.17,1.16,PS3,0
0.83,0.28,0.0,0.05,1.16,XB,1
0.15,0.68,0.01,0.32,1.16,PSP,0
0.51,0.54,0.0,0.1,1.16,X360,1
0.0,1.14,0.0,0.01,1.15,PC,0
0.52,0.46,0.0,0.17,1.15,PS3,0
0.56,0.44,0.0,0.15,1.15,PS2,0
0.57,0.33,0.09,0.16,1.15,PS3,0
0.56,0.44,0.0,0.15,1.15,PS2,0
1.07,0.07,0.0,0.01,1.15,2600,2
0.44,0.46,0.06,0.18,1.15,PS3,0
0.69,0.35,0.01,0.11,1.15,Wii,1
0.0,1.12,0.0,0.03,1.15,PC,0
0.51,0.2,0.41,0.03,1.15,GB,2
0.0,0.0,1.15,0.0,1.15,SNES,1
0.0,0.0,1.15,0.0,1.15,NES,0
0.5,0.52,0.0,0.13,1.15,DS,2
0.75,0.22,0.05,0.12,1.15,PS3,0
0.5,0.16,0.46,0.03,1.15,GC,2
0.45,0.51,0.0,0.19,1.15,PS3,0
0.0,0.0,1.15,0.0,1.15,SNES,1
0.56,0.44,0.0,0.15,1.15,PS2,0
0.64,0.43,0.0,0.07,1.15,PS,0
0.0,0.0,1.07,0.07,1.15,PS,0
0.47,0.26,0.35,0.07,1.14,3DS,2
0.64,0.43,0.0,0.07,1.14,PS,0
0.44,0.34,0.25,0.11,1.14,PS2,0
0.78,0.03,0.2,0.13,1.14,PS2,0
0.25,0.17,0.65,0.07,1.14,PS,0
0.31,0.03,0.76,0.04,1.14,PS3,0
0.95,0.04,0.0,0.16,1.14,PS2,0
0.31,0.59,0.02,0.22,1.14,PS3,0
0.26,0.75,0.0,0.14,1.14,Wii,1
0.9,0.23,0.0,0.02,1.14,N64,2
0.71,0.16,0.25,0.03,1.14,NES,0
0.46,0.17,0.48,0.02,1.14,SNES,1
0.41,0.23,0.47,0.03,1.14,DC,2
0.58,0.37,0.15,0.04,1.14,GB,2
0.71,0.38,0.0,0.05,1.14,XB,1
0.82,0.3,0.0,0.02,1.14,GBA,2
0.0,0.51,0.0,0.62,1.14,PS2,0
0.65,0.37,0.0,0.11,1.14,X360,1
0.12,0.1,0.88,0.03,1.14,PS2,0
0.7,0.39,0.01,0.03,1.14,GC,2
1.01,0.1,0.0,0.03,1.13,XB,1
0.5,0.41,0.06,0.16,1.13,PS3,0
0.61,0.43,0.0,0.09,1.13,3DS,2
0.0,0.0,1.06,0.07,1.13,PS,0
0.81,0.3,0.0,0.02,1.13,GBA,2
0.33,0.37,0.37,0.06,1.13,3DS,2
0.99,0.12,0.0,0.02,1.13,XB,1
0.38,0.56,0.0,0.19,1.13,PS4,0
0.23,0.05,0.84,0.01,1.13,NES,0
0.63,0.43,0.0,0.07,1.13,PS,0
0.64,0.39,0.0,0.1,1.13,X360,1
0.34,0.56,0.04,0.19,1.13,PS4,0
0.21,0.21,0.62,0.08,1.13,PS3,0
0.81,0.3,0.0,0.02,1.13,GBA,2
0.67,0.3,0.0,0.15,1.13,PS3,0
0.72,0.3,0.01,0.09,1.12,X360,1
1.05,0.06,0.0,0.01,1.12,2600,2
0.55,0.43,0.0,0.14,1.12,PS2,0
0.56,0.24,0.3,0.02,1.12,N64,2
0.63,0.37,0.02,0.1,1.12,X360,1
0.36,0.33,0.28,0.15,1.12,PS3,0
0.5,0.37,0.1,0.16,1.12,PS3,0
0.84,0.2,0.01,0.08,1.12,X360,1
0.62,0.4,0.0,0.1,1.12,X360,1
1.03,0.0,0.01,0.08,1.12,PSP,0
0.66,0.4,0.0,0.05,1.12,XB,1
0.41,0.06,0.63,0.02,1.12,NES,0
0.28,0.3,0.0,0.54,1.12,PS2,0
0.0,1.12,0.0,0.0,1.12,PC,0
0.82,0.26,0.0,0.04,1.12,XB,1
0.85,0.23,0.0,0.04,1.11,XB,1
0.32,0.58,0.04,0.17,1.11,PS4,0
0.63,0.37,0.0,0.11,1.11,PS2,0
0.31,0.57,0.03,0.2,1.11,PS3,0
0.92,0.04,0.0,0.15,1.11,PS2,0
0.62,0.4,0.0,0.08,1.11,XOne,1
0.71,0.06,0.0,0.35,1.11,PS2,0
0.68,0.38,0.0,0.05,1.11,XB,1
0.33,0.07,0.7,0.01,1.11,NES,0
0.0,0.0,1.1,0.01,1.11,PS,0
0.95,0.14,0.0,0.03,1.11,GEN,2
0.54,0.46,0.0,0.12,1.11,Wii,1
0.45,0.31,0.29,0.06,1.11,WiiU,1
0.18,0.13,0.73,0.07,1.11,PS,0
0.52,0.35,0.0,0.23,1.11,PSP,0
0.51,0.42,0.0,0.17,1.11,PS3,0
0.53,0.4,0.0,0.17,1.1,PS3,0
1.03,0.06,0.0,0.01,1.1,2600,2
0.45,0.53,0.01,0.12,1.1,X360,1
0.52,0.33,0.17,0.08,1.1,3DS,2
1.03,0.06,0.0,0.01,1.1,2600,2
0.61,0.42,0.0,0.07,1.1,PS,0
0.36,0.53,0.0,0.21,1.1,PS3,0
0.47,0.52,0.0,0.12,1.1,DS,2
0.44,0.46,0.01,0.18,1.1,PS3,0
0.0,0.0,1.1,0.0,1.1,GB,2
0.0,0.0,1.1,0.0,1.1,NES,0
0.0,0.0,1.1,0.0,1.1,GB,2
0.0,0.0,1.1,0.0,1.1,NES,0
0.45,0.33,0.29,0.03,1.1,N64,2
0.51,0.12,0.45,0.02,1.1,NES,0
0.92,0.09,0.0,0.09,1.1,Wii,1
0.52,0.4,0.04,0.13,1.1,PS2,0
0.12,0.75,0.0,0.23,1.1,PS2,0
0.0,0.84,0.0,0.25,1.1,PS2,0
0.54,0.21,0.31,0.04,1.1,GC,2
0.54,0.33,0.01,0.22,1.1,PSP,0
0.26,0.1,0.72,0.02,1.1,PS,0
0.31,0.22,0.45,0.12,1.1,PS3,0
0.43,0.41,0.0,0.25,1.09,PSP,0
0.63,0.36,0.0,0.1,1.09,DS,2
0.24,0.55,0.0,0.31,1.09,PSP,0
0.05,0.04,0.84,0.16,1.09,PS2,0
0.82,0.17,0.01,0.09,1.09,X360,1
0.78,0.29,0.0,0.02,1.09,GBA,2
0.29,0.52,0.08,0.2,1.09,PS3,0
1.02,0.05,0.0,0.02,1.09,DC,2
0.0,0.0,1.07,0.02,1.09,PS,0
0.75,0.18,0.0,0.16,1.09,PSP,0
0.96,0.04,0.0,0.08,1.09,DS,2
1.02,0.02,0.0,0.05,1.09,XB,1
0.01,0.97,0.0,0.11,1.09,PC,0
0.89,0.03,0.01,0.15,1.09,PS2,0
0.61,0.37,0.0,0.11,1.09,Wii,1
0.53,0.42,0.0,0.14,1.09,PS2,0
0.0,0.0,1.02,0.07,1.09,PS,0
0.64,0.28,0.04,0.13,1.09,PS3,0
0.44,0.54,0.0,0.11,1.09,DS,2
0.35,0.52,0.0,0.22,1.09,PS3,0
0.44,0.47,0.09,0.09,1.09,Wii,1
0.6,0.41,0.0,0.07,1.09,PS,0
0.74,0.26,0.0,0.09,1.09,X360,1
0.53,0.41,0.0,0.14,1.08,PS2,0
0.47,0.41,0.03,0.18,1.08,PS3,0
0.53,0.41,0.0,0.14,1.08,PS2,0
0.36,0.64,0.0,0.08,1.08,PC,0
0.87,0.12,0.0,0.09,1.08,Wii,1
0.53,0.41,0.0,0.14,1.08,PS2,0
0.55,0.43,0.0,0.11,1.08,DS,2
0.48,0.32,0.2,0.09,1.08,Wii,1
1.02,0.0,0.0,0.06,1.08,X360,1
0.28,0.5,0.03,0.28,1.08,PSP,0
0.26,0.69,0.0,0.12,1.08,Wii,1
0.28,0.59,0.0,0.22,1.08,PS3,0
1.01,0.06,0.0,0.01,1.08,2600,2
0.53,0.43,0.01,0.11,1.08,X360,1
0.64,0.34,0.0,0.1,1.08,PS2,0
0.27,0.59,0.01,0.21,1.08,PS3,0
0.47,0.4,0.13,0.08,1.08,WiiU,1
0.67,0.3,0.0,0.11,1.08,DS,2
0.6,0.41,0.0,0.07,1.08,PS,0
0.77,0.29,0.0,0.02,1.08,GBA,2
0.77,0.29,0.0,0.02,1.08,GBA,2
0.68,0.18,0.19,0.03,1.08,GC,2
0.49,0.35,0.09,0.16,1.08,PS3,0
0.79,0.18,0.03,0.07,1.08,X360,1
1.01,0.0,0.0,0.06,1.07,X360,1
0.0,0.0,1.0,0.07,1.07,PS,0
0.89,0.03,0.0,0.15,1.07,PS2,0
0.65,0.32,0.0,0.1,1.07,DS,2
0.57,0.39,0.02,0.09,1.07,X360,1
0.53,0.4,0.03,0.11,1.07,X360,1
0.17,0.12,0.77,0.02,1.07,SAT,0
0.0,0.98,0.0,0.09,1.07,PC,0
0.53,0.01,0.0,0.54,1.07,PS2,0
0.08,0.9,0.04,0.05,1.07,X360,1
0.72,0.06,0.21,0.07,1.07,DS,2
0.59,0.4,0.0,0.07,1.07,PS,0
0.74,0.15,0.13,0.05,1.07,PS2,0
0.43,0.44,0.0,0.2,1.07,PS3,0
0.12,0.64,0.05,0.25,1.07,PS3,0
0.1,0.63,0.0,0.34,1.07,PSP,0
0.67,0.3,0.0,0.1,1.07,Wii,1
0.17,0.12,0.71,0.07,1.07,PS,0
0.54,0.42,0.0,0.1,1.07,X360,1
0.59,0.4,0.0,0.07,1.07,PS,0
0.59,0.4,0.0,0.07,1.06,PS,0
0.88,0.04,0.0,0.14,1.06,PS2,0
0.55,0.4,0.0,0.11,1.06,X360,1
0.52,0.41,0.0,0.14,1.06,PS2,0
0.23,0.74,0.0,0.1,1.06,DS,2
0.67,0.29,0.01,0.1,1.06,X360,1
0.16,0.67,0.0,0.23,1.06,PS3,0
0.96,0.02,0.01,0.08,1.06,DS,2
0.0,0.0,0.99,0.07,1.06,PS,0
0.28,0.65,0.0,0.13,1.06,Wii,1
0.52,0.41,0.0,0.14,1.06,PS2,0
0.31,0.5,0.05,0.19,1.06,PS3,0
0.65,0.3,0.01,0.1,1.06,X360,1
0.18,0.81,0.0,0.08,1.06,PS,0
0.52,0.41,0.0,0.14,1.06,PS2,0
0.44,0.44,0.0,0.18,1.06,PS3,0
1.02,0.04,0.0,0.01,1.06,N64,2
1.01,0.05,0.0,0.01,1.06,N64,2
0.56,0.4,0.0,0.11,1.06,X360,1
0.97,0.01,0.0,0.08,1.06,DS,2
1.03,0.02,0.0,0.0,1.06,PC,0
0.39,0.41,0.1,0.16,1.06,PS4,0
0.76,0.28,0.0,0.02,1.06,GBA,2
0.23,0.59,0.03,0.22,1.06,PS3,0
0.52,0.4,0.0,0.14,1.06,PS2,0
0.49,0.39,0.0,0.17,1.06,PS3,0
0.32,0.06,0.64,0.04,1.06,DS,2
0.58,0.38,0.0,0.09,1.05,X360,1
0.99,0.05,0.0,0.01,1.05,2600,2
0.81,0.11,0.0,0.13,1.05,PSP,0
0.42,0.54,0.0,0.08,1.05,Wii,1
0.41,0.47,0.0,0.18,1.05,PS3,0
0.99,0.05,0.0,0.01,1.05,2600,2
0.27,0.66,0.0,0.12,1.05,Wii,1
0.0,0.0,1.05,0.0,1.05,NES,0
0.0,0.0,0.92,0.13,1.05,PS,0
0.0,0.0,1.05,0.0,1.05,NES,0
0.0,0.0,1.04,0.01,1.05,SNES,1
0.55,0.34,0.03,0.13,1.05,PS3,0
0.51,0.4,0.0,0.13,1.05,PS2,0
0.3,0.48,0.12,0.15,1.05,PS4,0
0.78,0.26,0.0,0.01,1.05,XB,1
0.91,0.11,0.0,0.03,1.05,PS,0
0.45,0.49,0.0,0.11,1.05,DS,2
0.56,0.38,0.01,0.11,1.05,X360,1
0.52,0.51,0.0,0.02,1.05,XB,1
0.44,0.49,0.0,0.11,1.05,X360,1
0.62,0.32,0.0,0.1,1.05,Wii,1
0.19,0.13,0.66,0.07,1.05,PS,0
0.58,0.06,0.37,0.04,1.05,DS,2
0.54,0.4,0.0,0.11,1.05,X360,1
0.46,0.47,0.0,0.11,1.04,Wii,1
0.51,0.4,0.0,0.13,1.04,PS2,0
0.58,0.4,0.0,0.07,1.04,PS,0
0.33,0.37,0.26,0.09,1.04,Wii,1
0.58,0.37,0.0,0.09,1.04,DS,2
0.09,0.06,0.83,0.07,1.04,PS,0
0.58,0.39,0.0,0.07,1.04,PS,0
0.57,0.35,0.02,0.1,1.04,DS,2
0.45,0.3,0.22,0.07,1.04,PS,0
0.44,0.12,0.45,0.03,1.04,GC,2
0.87,0.03,0.0,0.14,1.04,PS2,0
0.59,0.35,0.01,0.09,1.04,X360,1
0.39,0.16,0.37,0.12,1.04,GBA,2
0.5,0.2,0.31,0.03,1.04,N64,2
0.91,0.1,0.0,0.03,1.04,PS,0
0.62,0.33,0.0,0.09,1.04,X360,1
0.17,0.69,0.02,0.15,1.04,PS4,0
0.53,0.46,0.0,0.05,1.04,XB,1
0.52,0.06,0.41,0.05,1.04,DS,2
0.61,0.34,0.0,0.09,1.04,XOne,1
0.68,0.27,0.0,0.09,1.04,DS,2
0.34,0.48,0.02,0.19,1.04,PS3,0
0.16,0.58,0.0,0.3,1.04,PSP,0
0.47,0.34,0.0,0.22,1.04,PSP,0
0.46,0.4,0.01,0.17,1.04,PS4,0
0.86,0.03,0.0,0.14,1.03,PS2,0
0.56,0.33,0.01,0.14,1.03,PS3,0
0.94,0.02,0.0,0.08,1.03,Wii,1
0.33,0.51,0.01,0.18,1.03,PS3,0
0.72,0.23,0.0,0.08,1.03,Wii,1
0.5,0.39,0.0,0.13,1.03,PS2,0
0.68,0.31,0.0,0.04,1.03,GB,2
0.18,0.0,0.85,0.0,1.03,NES,0
0.45,0.47,0.0,0.11,1.03,Wii,1
0.96,0.07,0.0,0.0,1.03,PC,0
0.94,0.01,0.0,0.08,1.03,Wii,1
0.38,0.12,0.51,0.02,1.03,PS,0
0.61,0.32,0.01,0.08,1.02,X360,1
0.32,0.59,0.01,0.11,1.02,Wii,1
0.45,0.46,0.0,0.11,1.02,Wii,1
0.87,0.05,0.02,0.08,1.02,X360,1
0.53,0.36,0.05,0.08,1.02,WiiU,1
0.73,0.26,0.01,0.03,1.02,GC,2
0.51,0.4,0.0,0.11,1.02,DS,2
0.28,0.21,0.45,0.08,1.02,PS3,0
0.39,0.12,0.49,0.02,1.02,SNES,1
0.51,0.4,0.0,0.11,1.02,Wii,1
0.57,0.39,0.0,0.07,1.02,PS,0
0.69,0.04,0.22,0.06,1.02,X360,1
0.97,0.03,0.0,0.03,1.02,XB,1
0.44,0.4,0.0,0.17,1.02,PS3,0
0.5,0.39,0.0,0.13,1.02,PS2,0
0.56,0.38,0.0,0.07,1.01,PS,0
0.34,0.28,0.1,0.3,1.01,WiiU,1
0.54,0.35,0.02,0.1,1.01,X360,1
0.41,0.36,0.03,0.21,1.01,PSP,0
0.44,0.46,0.01,0.09,1.01,3DS,2
0.65,0.22,0.05,0.1,1.01,X360,1
0.87,0.12,0.0,0.02,1.01,SNES,1
0.0,0.93,0.0,0.08,1.01,PC,0
0.48,0.44,0.0,0.09,1.01,Wii,1
0.0,0.0,1.01,0.0,1.01,DS,2
0.12,0.08,0.74,0.07,1.01,PS,0
0.33,0.48,0.02,0.18,1.01,PS3,0
0.27,0.53,0.0,0.2,1.01,PS3,0
0.21,0.61,0.0,0.18,1.01,PS4,0
0.93,0.0,0.0,0.07,1.0,Wii,1
0.49,0.38,0.0,0.13,1.0,PS2,0
0.29,0.19,0.46,0.07,1.0,PS,0
0.13,0.76,0.03,0.09,1.0,X360,1
0.3,0.24,0.38,0.08,1.0,PS2,0
0.65,0.14,0.21,0.0,1.0,NES,0
0.65,0.15,0.19,0.01,1.0,N64,2
0.41,0.1,0.47,0.02,1.0,NES,0
0.63,0.25,0.09,0.03,1.0,GB,2
0.0,0.0,1.0,0.0,1.0,PS2,0
0.78,0.18,0.03,0.0,1.0,XB,1
0.49,0.33,0.02,0.15,1.0,PS3,0
0.72,0.21,0.0,0.07,1.0,X360,1
0.08,0.9,0.02,0.0,1.0,X360,1
0.56,0.38,0.0,0.07,1.0,PS,0
0.56,0.38,0.0,0.07,1.0,PS,0
0.25,0.49,0.04,0.22,1.0,PSV,0
0.55,0.38,0.0,0.07,1.0,PS,0
0.13,0.1,0.74,0.03,1.0,PS2,0
0.86,0.04,0.01,0.08,1.0,DS,2
0.51,0.27,0.05,0.15,1.0,PS3,0
0.44,0.38,0.0,0.17,1.0,PS3,0
0.89,0.04,0.0,0.06,1.0,Wii,1
0.48,0.35,0.0,0.16,1.0,PS3,0
0.64,0.28,0.0,0.08,1.0,X360,1
0.17,0.78,0.0,0.04,1.0,DS,2
0.55,0.38,0.0,0.07,1.0,PS,0
0.64,0.28,0.0,0.08,0.99,X360,1
0.49,0.07,0.39,0.05,0.99,DS,2
0.74,0.21,0.0,0.04,0.99,XB,1
0.77,0.2,0.0,0.03,0.99,GC,2
0.59,0.31,0.0,0.1,0.99,DS,2
0.51,0.39,0.0,0.09,0.99,X360,1
0.57,0.34,0.01,0.08,0.99,X360,1
0.37,0.31,0.12,0.19,0.99,PSP,0
0.94,0.0,0.0,0.06,0.99,X360,1
0.36,0.46,0.0,0.17,0.99,PS3,0
0.6,0.3,0.0,0.09,0.99,Wii,1
0.61,0.3,0.0,0.09,0.99,Wii,1
0.55,0.38,0.0,0.06,0.99,PS,0
0.35,0.52,0.04,0.09,0.99,PS3,0
0.88,0.05,0.0,0.07,0.99,Wii,1
0.52,0.28,0.0,0.19,0.99,PSP,0
0.3,0.23,0.38,0.08,0.99,PS2,0
0.73,0.15,0.0,0.11,0.99,PS3,0
0.38,0.5,0.0,0.11,0.99,Wii,1
0.23,0.65,0.0,0.11,0.99,Wii,1
0.76,0.2,0.0,0.03,0.99,GC,2
0.0,0.8,0.0,0.18,0.99,PC,0
0.02,0.88,0.0,0.08,0.99,PC,0
0.85,0.05,0.0,0.08,0.98,DS,2
0.02,0.53,0.19,0.25,0.98,PSP,0
0.21,0.62,0.0,0.14,0.98,PC,0
0.49,0.26,0.16,0.08,0.98,Wii,1
0.72,0.19,0.0,0.07,0.98,X360,1
0.5,0.19,0.28,0.02,0.98,GBA,2
0.36,0.46,0.0,0.17,0.98,PS3,0
0.62,0.13,0.21,0.02,0.98,NES,0
0.94,0.04,0.0,0.01,0.98,N64,2
0.91,0.06,0.0,0.01,0.98,2600,2
0.29,0.23,0.38,0.08,0.98,PS2,0
0.56,0.1,0.27,0.05,0.98,DS,2
0.42,0.38,0.0,0.17,0.98,PS3,0
0.24,0.54,0.01,0.18,0.98,PS3,0
0.38,0.39,0.06,0.15,0.98,PS3,0
0.45,0.44,0.0,0.08,0.98,X360,1
0.0,0.92,0.0,0.05,0.98,PC,0
0.34,0.41,0.06,0.18,0.98,PS3,0
0.03,0.43,0.51,0.01,0.98,PS3,0
0.82,0.05,0.0,0.1,0.98,X360,1
0.88,0.0,0.0,0.1,0.98,PS2,0
0.62,0.27,0.0,0.09,0.98,X360,1
0.09,0.02,0.86,0.01,0.98,DS,2
0.37,0.32,0.15,0.14,0.97,PS4,0
0.89,0.01,0.0,0.08,0.97,PS3,0
0.5,0.37,0.0,0.1,0.97,Wii,1
0.73,0.21,0.0,0.03,0.97,XB,1
0.4,0.44,0.0,0.13,0.97,PC,0
0.88,0.02,0.0,0.08,0.97,X360,1
0.49,0.18,0.29,0.01,0.97,GBA,2
0.15,0.14,0.63,0.05,0.97,PS3,0
0.53,0.35,0.0,0.1,0.97,X360,1
0.56,0.33,0.0,0.08,0.97,Wii,1
0.47,0.37,0.0,0.12,0.97,PS2,0
0.78,0.03,0.03,0.13,0.97,PS2,0
0.77,0.1,0.0,0.1,0.97,X360,1
0.33,0.6,0.0,0.04,0.97,XB,1
0.52,0.37,0.0,0.08,0.97,Wii,1
0.0,0.0,0.97,0.0,0.97,SNES,1
0.9,0.05,0.0,0.01,0.97,2600,2
0.75,0.19,0.0,0.03,0.97,GC,2
0.36,0.45,0.0,0.16,0.97,PS3,0
0.21,0.31,0.28,0.16,0.97,PSV,0
0.54,0.37,0.0,0.06,0.97,PS,0
0.82,0.07,0.0,0.07,0.96,DS,2
0.38,0.25,0.26,0.07,0.96,PS2,0
0.54,0.36,0.0,0.06,0.96,PS,0
0.5,0.28,0.04,0.14,0.96,PS3,0
0.0,0.0,0.9,0.06,0.96,PS,0
0.72,0.17,0.0,0.07,0.96,DS,2
0.0,0.0,0.96,0.0,0.96,Wii,1
0.37,0.49,0.0,0.1,0.96,DS,2
0.3,0.44,0.0,0.22,0.96,PSP,0
0.72,0.22,0.0,0.02,0.96,N64,2
0.32,0.06,0.57,0.01,0.96,NES,0
0.54,0.33,0.0,0.09,0.96,X360,1
0.29,0.34,0.2,0.13,0.96,PS3,0
0.47,0.37,0.0,0.12,0.96,PS2,0
0.0,0.0,0.96,0.0,0.96,3DS,2
0.3,0.54,0.0,0.11,0.96,DS,2
0.41,0.33,0.09,0.12,0.96,PS3,0
0.39,0.0,0.53,0.03,0.96,DS,2
0.36,0.28,0.22,0.09,0.96,PS2,0
0.77,0.15,0.0,0.04,0.96,XB,1
0.25,0.56,0.0,0.15,0.96,PC,0
0.4,0.36,0.13,0.07,0.96,3DS,2
0.32,0.33,0.15,0.15,0.96,PS3,0
0.47,0.4,0.0,0.08,0.95,X360,1
0.88,0.04,0.0,0.04,0.95,XB,1
0.47,0.36,0.0,0.12,0.95,PS2,0
0.8,0.03,0.0,0.13,0.95,PS2,0
0.36,0.45,0.0,0.14,0.95,PS2,0
0.74,0.19,0.0,0.03,0.95,GC,2
0.57,0.3,0.0,0.08,0.95,X360,1
0.65,0.22,0.0,0.09,0.95,DS,2
0.27,0.51,0.0,0.17,0.95,PS3,0
0.46,0.39,0.0,0.1,0.95,Wii,1
0.26,0.17,0.46,0.06,0.95,PS,0
0.27,0.21,0.41,0.07,0.95,PS2,0
0.68,0.25,0.0,0.02,0.95,GBA,2
0.53,0.36,0.0,0.06,0.95,PS,0
0.54,0.28,0.0,0.13,0.95,PS3,0
0.39,0.4,0.0,0.16,0.95,PS3,0
0.41,0.43,0.0,0.1,0.95,Wii,1
0.35,0.41,0.05,0.15,0.95,PS4,0
0.51,0.31,0.01,0.13,0.95,PS3,0
0.62,0.24,0.0,0.08,0.95,X360,1
0.7,0.17,0.0,0.08,0.95,Wii,1
0.48,0.38,0.0,0.08,0.95,X360,1
0.24,0.43,0.18,0.09,0.95,Wii,1
0.79,0.03,0.0,0.13,0.94,PS2,0
0.27,0.5,0.0,0.17,0.94,PS3,0
0.01,0.71,0.01,0.21,0.94,PS2,0
0.48,0.27,0.13,0.07,0.94,3DS,2
0.73,0.19,0.0,0.03,0.94,GC,2
0.69,0.17,0.0,0.08,0.94,X360,1
0.52,0.36,0.0,0.06,0.94,PS,0
0.83,0.04,0.0,0.07,0.94,Wii,1
0.28,0.53,0.0,0.13,0.94,PC,0
0.46,0.36,0.0,0.12,0.94,PS2,0
0.26,0.29,0.33,0.05,0.94,3DS,2
0.48,0.36,0.02,0.08,0.94,X360,1
0.51,0.26,0.09,0.08,0.94,X360,1
0.78,0.03,0.0,0.13,0.94,PS2,0
0.7,0.2,0.0,0.03,0.94,XB,1
0.1,0.07,0.71,0.06,0.94,PS,0
0.87,0.0,0.0,0.07,0.94,X360,1
0.52,0.35,0.0,0.06,0.94,PS,0
0.48,0.3,0.08,0.08,0.94,WiiU,1
0.75,0.03,0.04,0.12,0.94,PS2,0
0.57,0.33,0.0,0.04,0.94,XB,1
0.19,0.06,0.63,0.05,0.94,PSP,0
0.46,0.36,0.0,0.12,0.94,PS2,0
0.78,0.03,0.0,0.13,0.94,PS2,0
0.46,0.36,0.0,0.12,0.93,PS2,0
0.36,0.45,0.02,0.1,0.93,X360,1
0.78,0.09,0.0,0.06,0.93,Wii,1
0.16,0.58,0.0,0.2,0.93,PS3,0
0.67,0.25,0.0,0.02,0.93,GBA,2
0.59,0.3,0.0,0.04,0.93,XB,1
0.42,0.41,0.0,0.11,0.93,PC,0
0.29,0.52,0.02,0.11,0.93,Wii,1
0.33,0.16,0.36,0.08,0.93,PS3,0
0.35,0.42,0.02,0.14,0.93,PS3,0
0.5,0.32,0.02,0.1,0.93,Wii,1
0.34,0.44,0.0,0.15,0.93,PS3,0
0.85,0.01,0.0,0.07,0.93,DS,2
0.67,0.25,0.0,0.02,0.93,GBA,2
0.87,0.05,0.0,0.01,0.93,2600,2
0.51,0.09,0.32,0.01,0.93,NES,0
0.45,0.06,0.42,0.0,0.93,NES,0
0.71,0.2,0.0,0.01,0.93,N64,2
0.67,0.25,0.0,0.02,0.93,GBA,2
0.77,0.03,0.0,0.13,0.93,PS2,0
0.54,0.31,0.0,0.08,0.93,X360,1
0.72,0.19,0.0,0.03,0.93,GC,2
0.44,0.34,0.0,0.15,0.93,PS3,0
0.0,0.0,0.93,0.0,0.93,DS,2
0.47,0.22,0.16,0.07,0.93,WiiU,1
0.52,0.35,0.0,0.06,0.93,PS,0
0.45,0.35,0.0,0.12,0.92,PS2,0
0.45,0.35,0.0,0.12,0.92,PS2,0
0.3,0.33,0.21,0.08,0.92,X360,1
0.51,0.35,0.0,0.06,0.92,PS,0
0.86,0.0,0.0,0.06,0.92,X360,1
0.51,0.35,0.0,0.06,0.92,PS,0
0.17,0.65,0.0,0.1,0.92,X360,1
0.52,0.28,0.0,0.12,0.92,PS3,0
0.55,0.21,0.0,0.16,0.92,PSP,0
0.58,0.26,0.0,0.08,0.92,X360,1
0.63,0.2,0.02,0.07,0.92,X360,1
0.87,0.0,0.0,0.05,0.92,X360,1
0.5,0.32,0.0,0.09,0.92,Wii,1
0.63,0.27,0.0,0.02,0.92,N64,2
0.39,0.09,0.43,0.01,0.92,NES,0
0.01,0.83,0.0,0.08,0.92,PC,0
0.16,0.2,0.53,0.03,0.92,3DS,2
0.51,0.33,0.01,0.08,0.92,X360,1
0.37,0.39,0.0,0.15,0.92,PS4,0
0.25,0.14,0.46,0.06,0.92,PS3,0
0.26,0.39,0.12,0.14,0.92,PS3,0
0.86,0.0,0.0,0.06,0.92,PS3,0
0.71,0.18,0.0,0.03,0.92,GC,2
0.45,0.35,0.0,0.12,0.92,PS2,0
0.12,0.08,0.66,0.06,0.92,PS,0
0.45,0.27,0.11,0.09,0.92,X360,1
0.67,0.08,0.0,0.17,0.92,PS4,0
0.23,0.46,0.05,0.17,0.92,PS3,0
0.32,0.4,0.04,0.15,0.91,PS3,0
0.85,0.0,0.0,0.07,0.91,Wii,1
0.45,0.35,0.0,0.12,0.91,PS2,0
0.32,0.43,0.0,0.16,0.91,PS3,0
0.41,0.17,0.29,0.05,0.91,3DS,2
0.58,0.24,0.01,0.09,0.91,X360,1
0.35,0.27,0.21,0.09,0.91,PS2,0
0.47,0.3,0.0,0.13,0.91,PS3,0
0.02,0.8,0.02,0.07,0.91,PS,0
0.72,0.17,0.0,0.01,0.91,N64,2
0.52,0.26,0.0,0.12,0.91,PS3,0
0.46,0.38,0.0,0.08,0.91,X360,1
0.77,0.11,0.0,0.04,0.91,XB,1
0.68,0.15,0.0,0.08,0.91,X360,1
0.57,0.26,0.0,0.08,0.91,DS,2
0.0,0.0,0.91,0.0,0.91,SNES,1
